word,def,syn,ant,example
abode,A place where someone lives; a home.,home; residence; dwelling,—,The cottage had been his peaceful abode for many years.
absurd,"Completely unreasonable, illogical, or ridiculous.",ridiculous; foolish; preposterous,sensible; reasonable; logical,The idea that a mouse could lift an elephant was absurd.
adhere,To stick firmly to something; or to follow a rule or belief.,stick; cling; comply,detach; separate; disobey,Everyone must adhere to the safety rules.
advice,Guidance or recommendations about what someone should do.,guidance; counsel; recommendation,misguidance; discouragement,She asked her teacher for advice about the exam.
ancient,Belonging to a very distant time in the past.,old; antique; prehistoric,modern; recent; new,They discovered the ruins of an ancient temple.
apparent,Clearly visible or understood; seeming to be true.,obvious; evident; noticeable,hidden; obscure; unclear,It became apparent that the door had been forced open.
banish,To send someone away from a place as a punishment; to get rid of something.,exile; expel; dismiss,welcome; admit; retain,The king decided to banish the traitor from the kingdom.
beck,A gesture used to summon or direct someone; especially in the phrase 'at someone's beck and call'.,gesture; signal; summons,dismissal; refusal,The servant was always at the king's beck and call.
brusque,Abrupt and rather rude in manner or speech.,blunt; curt; abrupt,polite; courteous; gracious,His brusque reply surprised everyone in the room.
calamity,A serious event that causes great damage or suffering.,disaster; catastrophe; tragedy,blessing; success; good fortune,The earthquake was a terrible calamity for the region.
caulk,To seal a gap or joint so that air or water cannot pass through.,seal; plug; fill,open; unseal,Dad used sealant to caulk the gap around the window.
clemency,"Mercy or leniency shown towards someone, especially by a person in authority.",mercy; leniency; compassion,severity; harshness; cruelty,The prisoner appealed to the judge for clemency.
coax,To gently persuade someone to do something.,persuade; cajole; encourage,dissuade; discourage; deter,She managed to coax the frightened cat out from under the bed.
commence,To begin or start.,begin; start; initiate,finish; conclude; end,The ceremony will commence at ten o'clock.
complement,Something that completes or improves something else.,enhancement; addition; accompaniment,mismatch; contrast,The fresh salad was a perfect complement to the meal.
compliment,A polite expression of praise or admiration.,praise; flattery; commendation,insult; criticism; rebuke,He paid her a compliment on her excellent performance.
conceal,To hide something or prevent it from being seen or known.,hide; cover; disguise,reveal; expose; disclose,He tried to conceal the present behind his back.
