accommodate|To provide enough space for someone or something.|house||The hall can accommodate our class and all their enormous hats.
accompany|To go somewhere with someone.|go with|leave behind|Dad will accompany us to the museum.
according|In the phrase 'according to', as stated by someone or something.|||According to the map, the treasure is beneath the compost heap.
achieve|To succeed in doing something you worked towards.|accomplish|fail at|With daily practice, I can achieve my swimming goal.
aggressive|Ready to attack or argue in a forceful way.|hostile|peaceful|The aggressive goose chased the visitors away from its nest.
alliteration|The use of the same starting consonant sound in nearby words.|||We used alliteration in the name 'Bouncing Billy's Biscuit Boat'.
amateur|Someone who does an activity for enjoyment rather than as a paid job.|hobbyist|professional|The amateur photographer took pictures after finishing her job at the bakery.
analyse|To examine something carefully to understand its parts and how they work.|examine||We will analyse the clues before accusing the hamster.
appreciate|To recognise the value of something and feel thankful for it.|value||I appreciate your help with my giant papier-mâché potato.
atmosphere|The feeling or mood of a place or situation.|mood||The spooky music gave the empty hall a mysterious atmosphere.
attached|Joined or fastened to something.|fastened|detached|A tiny bell was attached to the puppet's hat.
audience|The people who watch or listen to a performance or talk.|spectators||The audience laughed when the dragon sneezed confetti.
available|Ready for someone to use or obtain.|obtainable|unavailable|There are three seats available on the coach.
average|A value found by adding quantities and dividing by how many there are.|mean||The average of two, four and six is four.
awkward|Difficult to move, use or deal with.|unwieldy|manageable|The enormous cardboard crown was awkward to carry through the doorway.
bargain|Something bought for less than its usual price.|good deal||At fifty pence, the nearly new book was a bargain.
bias|An unfair preference for or against someone or something.|prejudice|impartiality|Choosing your own brother every time shows bias.
bruise|A dark mark caused by bleeding under the skin after a bump.|||A purple bruise appeared where I had bumped my knee.
category|A group of things that share a feature.|class||Put the whale in the mammal category, not with the fish.
cemetery|A place where people who have died are buried.|burial ground||We laid flowers beside our grandfather's grave in the cemetery.
characterisation|The way a writer shows what a character is like.|||The author uses the pirate's kind actions for characterisation.
committee|A group chosen to organise something or make decisions.|panel||The school committee met to plan the summer fair.
communicate|To share information, thoughts or feelings.|convey||The divers communicate with hand signals underwater.
community|A group of people connected by a place or shared interests.|||Our community worked together to restore the playground.
comparison|The act of examining things to see how they are similar or different.|||Our comparison of the two bikes included their weight and price.
competition|An event in which people try to win by doing something best.|contest||My wobbly jelly won the competition for the funniest dessert.
connotation|An idea or feeling a word suggests beyond its basic meaning.|association||The word 'home' can have a connotation of comfort.
conscious|Awake and aware of what is happening.|awake|unconscious|The patient was conscious and able to answer the nurse's questions.
context|The surrounding information or situation that helps explain something.|||The words around 'bank' gave us the context to tell it meant a river bank.
contrast|A noticeable difference between things.|difference|similarity|There was a clear contrast between the silent library and the noisy playground.
convenience|The quality of being easy or useful for someone's needs.|usefulness|inconvenience|We enjoyed the convenience of having a library next door.
correspond|To match or agree with something.|match|differ|The numbers on the keys correspond to the numbers on the lockers.
criticise|To point out faults in someone or something.|find fault with|praise|You can criticise my plan politely and suggest a better one.
curiosity|A strong wish to find out about something.|inquisitiveness|indifference|Curiosity made us investigate the squeaking cupboard.
definite|Clear and certain.|certain|uncertain|We need a definite date so everyone knows when to arrive.
desperate|Feeling that a situation is so bad that you will try almost anything.|frantic||The stranded sailor was desperate for someone to notice her signal.
determined|Firmly decided to do something, even when it is difficult.|resolute|hesitant|The determined runner kept training after a disappointing race.
develop|To grow or gradually become more advanced.|grow||With practice, your drawing skills will develop.
dictionary|A book or resource that lists words and explains their meanings.|||I checked the dictionary to find out what 'mischievous' meant.
environment|The surroundings and conditions in which living things exist.|surroundings||The pond provides an environment where frogs can live.
equip|To provide the things needed for a task.|supply||We must equip each explorer with a torch and a map.
equipment|The tools and other things needed for an activity.|gear||Our camping equipment included a tent and sleeping bags.
equipped|Provided with the things needed for a task.|supplied||The rescue boat was equipped with ropes and life jackets.
especially|More than usual, or more than other things.|particularly||I like fruit, especially strawberries.
evaluate|To judge how good, useful or successful something is.|assess||We will evaluate our bridge by testing how much weight it holds.
