word,def,syn,ant,example
tardy,Late; not arriving or happening on time,late; delayed,punctual; prompt,The tardy pupil arrived ten minutes after the lesson began.
punctual,Arriving or happening at the correct time,prompt; timely,late; tardy,Maya is punctual and always arrives before the bell.
deteriorate,To become progressively worse,worsen; decline,improve; recover,"Without repairs, the old roof will continue to deteriorate."
thrive,"To grow, develop, or succeed well",flourish; prosper,decline; fail,"Tomato plants thrive in warm, sunny conditions."
imperative,Extremely important or necessary,essential; vital,optional; unnecessary,It is imperative that you wear a helmet while cycling.
lout,"A rude, clumsy, or badly behaved person",boor; oaf,gentleman; polite person,The lout pushed to the front of the queue without apologising.
viscous,Thick and sticky; not flowing easily,thick; sticky,runny; fluid,Honey is more viscous than water.
vicious,"Violent, cruel, or dangerously aggressive",savage; cruel,gentle; kind,The vicious dog snarled at anyone who approached the gate.
gravely,Seriously or solemnly,seriously; solemnly,light-heartedly; cheerfully,The doctor spoke gravely about the risks of the operation.
boldness,Confidence and willingness to take risks,courage; daring,timidity; caution,Her boldness gave her the courage to speak before the whole school.
fortitude,Courage and strength when facing difficulty,courage; resilience,cowardice; weakness,He showed remarkable fortitude during the difficult journey.
grit,Courage and determination,determination; courage,weakness; irresolution,She needed grit to keep training after several defeats.
apprehension,Anxiety or fear about what may happen,anxiety; unease,confidence; calm,He felt a sense of apprehension before opening the exam paper.
rivet,To hold someone's attention completely,engross; captivate,bore; distract,The storyteller managed to rivet the children's attention.
riveting,Extremely interesting or exciting,gripping; fascinating,boring; tedious,The final chapter was so riveting that I could not put the book down.
tedious,Boring because it is long or repetitive,boring; monotonous,interesting; exciting,Sorting hundreds of papers was a tedious job.
apathy,"Lack of interest, enthusiasm, or concern",indifference; unconcern,enthusiasm; interest,His apathy towards the project frustrated the rest of the team.
veto,To officially reject or prevent something,reject; prohibit,approve; permit,The committee used its power to veto the proposal.
agitated,"Worried, nervous, or upset",anxious; disturbed,calm; composed,The horse became agitated when it heard the thunder.
haughty,Arrogantly proud and unfriendly,arrogant; disdainful,humble; friendly,The haughty prince refused to speak to the servants.
sanction,Official permission or approval; also a penalty imposed to enforce a rule,authorisation; approval,prohibition; refusal,The head teacher gave her sanction for the school trip.
rectify,To correct something that is wrong,correct; remedy,worsen; damage,We must rectify the mistake before the invitations are printed.
feud,A long and bitter argument or conflict,conflict; quarrel,peace; reconciliation,A long feud had divided the two families.
startle,To surprise or frighten suddenly,surprise; alarm,reassure; calm,The sudden crash startled everyone in the room.
savage,"Fierce, violent, or cruel",fierce; brutal,gentle; civilised,The village was struck by a savage storm.
ferocious,Extremely fierce or violent,fierce; savage,gentle; mild,A ferocious wind battered the coast.
callous,Unkind and showing no concern for others,heartless; insensitive,compassionate; caring,His callous remarks showed no concern for her feelings.
demean,To lower someone's dignity or status,degrade; humiliate,dignify; honour,The coach refused to demean players who made mistakes.
animosity,Strong hostility or dislike,hostility; resentment,friendship; goodwill,Years of rivalry had created animosity between the teams.
besotted,Completely infatuated with someone or something,infatuated; enamoured,indifferent; uninterested,He was besotted with the puppy and carried it everywhere.
relish,To enjoy something greatly,enjoy; savour,dislike; dread,She relished the chance to compete against the best runners.
abhor,To hate intensely,detest; loathe,adore; admire,I abhor cruelty to animals.
loathe,To dislike or hate greatly,detest; despise,love; adore,He loathed getting up before sunrise.
enmity,A state of strong hostility,hostility; hatred,friendship; amity,The treaty brought years of enmity to an end.
steadfast,"Firm, loyal, and not changing",resolute; loyal,fickle; wavering,She remained steadfast despite pressure to change her mind.
supple,Flexible and able to bend easily,flexible; pliable,rigid; stiff,Regular stretching kept the gymnast's muscles supple.
potent,Powerful or having a strong effect,powerful; effective,weak; ineffective,The medicine was potent enough to relieve the pain quickly.
conceited,Excessively proud of yourself,vain; arrogant,modest; humble,The conceited actor talked constantly about his own talent.
pretentious,Trying to appear more important or impressive than you really are,pompous; showy,modest; unassuming,The café had a pretentious menu full of unnecessarily grand descriptions.
malicious,Intending to cause harm,spiteful; malevolent,kind; benevolent,Someone posted a malicious rumour about the new pupil.
foam,A mass of small bubbles,froth; bubbles,—,White foam gathered on the waves near the shore.
froth,A mass of small bubbles on a liquid,foam; bubbles,—,A layer of froth formed on top of the hot chocolate.
fret,To worry or be anxious,worry; agonise,relax; reassure,Do not fret about the test; you have prepared well.
obscene,"Extremely offensive, indecent, or shocking",indecent; offensive,decent; respectable,The editor removed the obscene language from the article.
vulgar,"Rude, crude, or lacking good taste",crude; coarse,refined; tasteful,His vulgar joke offended several guests.
cordial,Warm and friendly,friendly; warm,hostile; unfriendly,The two rivals remained cordial when they met.
demolish,To completely destroy a building or structure,destroy; raze,build; construct,The council plans to demolish the unsafe building.
facile,Appearing easy or requiring little effort; sometimes overly simple,easy; simplistic,difficult; profound,The critic rejected the facile explanation because the issue was complex.
cinch,Something extremely easy to do,breeze; easy task,challenge; difficulty,"After weeks of practice, the final routine was a cinch."
intricate,Very detailed or complicated,complex; elaborate,simple; straightforward,The clock contained an intricate system of tiny gears.
prejudice,An unfair opinion formed without sufficient knowledge,bias; preconception,impartiality; fairness,Decisions should be based on evidence rather than prejudice.
bedlam,A scene of great noise and confusion,chaos; uproar,order; calm,The classroom descended into bedlam when the balloons burst.
favoured,Preferred or treated with special approval,preferred; preferred,unfavoured; rejected,The favoured candidate won the final vote.
impediment,Something that obstructs or slows progress,obstacle; hindrance,aid; assistance,A fallen tree was a serious impediment to our progress.
acrid,"Having a strong, bitter, irritating smell or taste",pungent; bitter,mild; sweet,Acrid smoke filled the kitchen after the toast burned.
acid,A sour substance; also sharp or bitter in manner,sour; acidic,alkaline; sweet,"The lemon juice had a sharp, acid taste."
arid,Extremely dry; lacking rain,dry; parched,moist; fertile,Few crops can survive in such an arid region.
pungent,Having a very strong smell or taste,sharp; acrid,mild; bland,The pungent smell of onions filled the room.
toil,To work extremely hard for a long time,labour; work,rest; relax,The farmers toiled in the fields from dawn until dusk.
coil,To wind into rings or loops,wind; curl,uncoil; straighten,The snake began to coil around the branch.
wholesome,Good for health or moral well-being,healthy; nourishing,unhealthy; harmful,"They ate a wholesome meal of vegetables, rice and fish."
pious,Deeply religious or devoted to religion,devout; religious,impious; irreverent,The pious monk spent many hours in prayer.
mellow,"Soft, smooth, pleasant, or relaxed",soft; relaxed,harsh; sharp,The cheese develops a mellow flavour as it ages.
faux,Artificial or imitation,fake; imitation,genuine; authentic,The jacket had a faux-fur collar.
platonic,Affectionate but not romantic or sexual,non-romantic; friendly,romantic; passionate,Their relationship was close but entirely platonic.
fluctuate,To rise and fall or change irregularly,vary; oscillate,stabilise; remain steady,Temperatures can fluctuate greatly in the desert.
concur,To agree,agree; assent,disagree; dissent,Most experts concur that the bridge needs urgent repairs.
auspicious,Suggesting that future success is likely,promising; favourable,inauspicious; unfavourable,The clear skies were an auspicious start to the expedition.
wander,To move around without a fixed route,roam; meander,stay; remain,We wandered through the old streets without a map.
ramble,To walk for pleasure; or talk at unnecessary length,roam; meander,hurry; be concise,We rambled through the countryside for several hours.
